page,index,Продукт,Старая цена,Новая цена,Процент скидки,Время проведения акции
94,37,"Освежитель воздуха ГЛЭЙД Автоматик запасной блок Свежесть белья, 269мл",521.99,249.99,−52%,с  8 февраля - до  8 марта
94,39,"Освежитель воздуха ГЛЕЙД Автоматик, сменный баллон, Японский сад, 269мл",520.99,249.99,−52%,с  8 февраля - до  8 марта
94,40,"Освежитель воздуха ГЛЕЙД Автоматик, сменный баллон, Нежный кашемир и сандал, 269мл",518.99,249.99,−52%,с  8 февраля - до  8 марта
94,41,"Освежитель воздуха GLADE®, Сменный баллон, Пион, сочные ягоды, 269мл",521.99,249.99,−52%,с  8 февраля - до  8 марта
95,16,"Освежитель воздуха ГЛЭЙД Автоматикс Кокос сменный баллон, 269мл",519.99,249.99,−52%,с  8 февраля - до  8 марта
97,5,"Пельмени ЦЕЗАРЬ, с телятиной, 750г",523.99,249.99,−52%,с 15 февраля - до 28 февраля
107,41,"Пельмени МИРАТОРГ Сливочные свинина-говядина, 800г",619.99,299.99,−52%,с  9 февраля - до  8 марта
130,44,"Таблетки для посудомоечных машин SYNERGETIC®, 55шт.",1251.99,599.99,−52%,с  8 февраля - до  8 марта
132,37,"Крем-мыло SYNERGETIC® антибактериальное Кокосовое молочко, 3,5л",1449.60,699.99,−52%,с  8 февраля - до 25 июля
11,47,"Салями ФИНСКАЯ, полукопченая (Дымов), 100г",81.79,39.99,−51%,с 15 февраля - до 28 февраля
43,23,"Колбаса ЛИТОВСКАЯ, сырокопченая, нарезка (Иней), 100г",181.79,89.99,−51%,с 15 февраля - до 28 февраля
43,24,"Колбаса ЛИТОВСКАЯ, сырокопченая, нарезка (Иней), 100г",182.49,89.99,−51%,с 15 февраля - до 28 февраля
43,25,"Колбаса ЛИТОВСКАЯ, сырокопченая, нарезка (Иней), 100г",182.19,89.99,−51%,с 15 февраля - до 28 февраля
63,35,"Паста зубная LACALUT Natusana Bio Herbal мята, 100мл",283.99,139.99,−51%,с 18 января - до 18 апреля
63,36,"Паста зубная LACALUT Natusana Bio Mineral мята, 100мл",283.99,139.99,−51%,с 18 января - до 18 апреля
65,18,"Набор конфет РОДНЫЕ ПРОСТОРЫ, с фундуком, 200г",284.61,139.99,−51%,с  9 февраля - до  8 марта
65,19,"Конфеты РОДНЫЕ ПРОСТОРЫ, с вафельной крошкой, 200г",284.61,139.99,−51%,с  9 февраля - до  8 марта
65,20,"Конфеты РОДНЫЕ ПРОСТОРЫ, с вафельной крошкой, 200г",284.61,139.99,−51%,с  9 февраля - до  8 марта
65,21,"Набор конфет РОДНЫЕ ПРОСТОРЫ, с фундуком, 200г",284.61,139.99,−51%,с  9 февраля - до  8 марта
70,35,"Крем чистящий СИФ Ледяной бриз, 450мл",324.99,159.99,−51%,с  8 февраля - до  8 марта
72,12,"Ветчина ВЯЗАНКА, Столичная мини (Стародворские колбасы), 500г",324.59,159.99,−51%,с 15 февраля - до 28 февраля
72,13,"Ветчина ВЯЗАНКА, Столичная мини (Стародворские колбасы), 500г",323.89,159.99,−51%,с 15 февраля - до 28 февраля
80,16,"Конфеты КОМИЛЬФО, Миндаль и крем-карамель, 116г",389.99,189.99,−51%,с  9 февраля - до  8 марта
80,18,"Конфеты КОМИЛЬФО, Миндаль и крем-карамель, 116г",389.99,189.99,−51%,с  9 февраля - до  8 марта
97,30,"Конфеты КОРКУНОВ, Ассорти, темный, молочный шоколад, 192г",509.99,249.99,−51%,с 22 февраля - до 28 февраля
97,31,"Конфеты КОРКУНОВ, Ассорти, темный, молочный шоколад, 192г",509.99,249.99,−51%,с 22 февраля - до 28 февраля
1,0,"Ванилин ХААС, 1,5г",8.60,4.30,−50%,с 15 февраля - до 28 февраля
1,1,"Ванилин ХААС, 1,5г",8.60,4.30,−50%,с 15 февраля - до 28 февраля
1,2,"Ванилин ХААС, 1,5г",8.60,4.30,−50%,с 15 февраля - до 28 февраля
9,10,"Палочки кукурузные КУЗЯ ЛАКОМКИН, в сахарной пудре, 140г",79.80,39.90,−50%,с 15 февраля - до 28 февраля
9,11,"Палочки кукурузные КУЗЯ ЛАКОМКИН, в сахарной пудре, 140г",79.80,39.90,−50%,с 15 февраля - до 28 февраля
9,12,"Палочки кукурузные КУЗЯ ЛАКОМКИН, в сахарной пудре, 140г",79.80,39.90,−50%,с 15 февраля - до 28 февраля
14,10,"Сервелат КРЕМЛЕВСКИЙ варено-копченый (Дымов), 100г",94.00,46.99,−50%,с 15 февраля - до 28 февраля
14,18,"Сервелат КРЕМЛЕВСКИЙ варено-копченый (Дымов), 100г",94.00,46.99,−50%,с 15 февраля - до 28 февраля
21,32,"Приправа ароматная КНОРР, 200г",118.79,59.99,−50%,с 15 февраля - до 28 февраля
26,11,"Маска для глаз KUMIHO с экстрактом розы, 7мл",139.99,69.99,−50%,с  8 февраля - до  8 марта
26,12,"Патч для губ KUMIHO с экстрактом меда и персика, 1шт.",139.99,69.99,−50%,с  8 февраля - до  8 марта
30,22,"Крабовые палочки ВИЧИ, замороженные, 200г",149.80,74.90,−50%,с 15 февраля - до 28 февраля
30,23,"Крабовые палочки ВИЧИ, замороженные, 200г",149.80,74.90,−50%,с 15 февраля - до 28 февраля
30,24,"Крабовое мясо ВИЧИ, замороженное, 200г",149.80,74.90,−50%,с 15 февраля - до 28 февраля
30,25,"Крабовое мясо ВИЧИ, замороженное, 200г",149.80,74.90,−50%,с 15 февраля - до 28 февраля
33,8,"Шоколад MILKA, с цельным фундуком, 90г",161.090,79.99,−50%,с  9 февраля - до  8 марта
33,13,"Шоколад MILKA, молочный, арахис-карамель-кукузурные хлопья-рисовые шарики, 90г",161.090,79.99,−50%,с  9 февраля - до  8 марта
33,14,"Шоколад MILKA, с цельным фундуком, 90г",160.69,79.99,−50%,с  9 февраля - до  8 марта
39,1,"Хлопья кукурузные КУЗЯ ЛАКОМКИН глазированные, 250г",179.80,89.90,−50%,с 15 февраля - до 28 февраля
39,2,"Котлеты ЛОЖКАРЕВЪ куриные в панировке, 400г",179.80,89.90,−50%,с 15 февраля - до 28 февраля
39,3,"Чебупицца ГОРЯЧАЯ ШТУЧКА, Пепперони, 250г",179.80,89.90,−50%,с 15 февраля - до 28 февраля
39,4,"Блинчики С ПЫЛУ С ЖАРУ, с вишней, 360г",179.80,89.90,−50%,с 15 февраля - до 28 февраля
39,5,"Блинчики С ПЫЛУ С ЖАРУ, с вишней, 360г",179.80,89.90,−50%,с 15 февраля - до 28 февраля
39,6,"Блинчики С ПЫЛУ С ЖАРУ, с вишней, 360г",179.80,89.90,−50%,с 15 февраля - до 28 февраля
39,7,"Чебупицца ГОРЯЧАЯ ШТУЧКА, Пепперони, 250г",179.80,89.90,−50%,с 15 февраля - до 28 февраля
39,8,"Котлеты ЛОЖКАРЕВЪ куриные в панировке, 400г",179.80,89.90,−50%,с 15 февраля - до 28 февраля
39,9,"Котлеты ЛОЖКАРЕВЪ куриные в панировке, 400г",179.80,89.90,−50%,с 15 февраля - до 28 февраля
39,10,"Чебупицца ГОРЯЧАЯ ШТУЧКА, Пепперони, 250г",179.80,89.90,−50%,с 15 февраля - до 28 февраля
39,11,"Блинчики С ПЫЛУ С ЖАРУ, с вишней, 360г",179.80,89.90,−50%,с 15 февраля - до 28 февраля
39,12,"Блинчики С ПЫЛУ С ЖАРУ, с вишней, 360г",179.80,89.90,−50%,с 15 февраля - до 28 февраля
39,13,"Чебупицца ГОРЯЧАЯ ШТУЧКА, Пепперони, 250г",179.80,89.90,−50%,с 15 февраля - до 28 февраля
39,14,"Котлеты ЛОЖКАРЕВЪ куриные в панировке, 400г",179.80,89.90,−50%,с 15 февраля - до 28 февраля
39,15,"Чебупицца ГОРЯЧАЯ ШТУЧКА, Пепперони, 250г",179.80,89.90,−50%,с 15 февраля - до 28 февраля
39,16,"Котлеты ЛОЖКАРЕВЪ куриные в панировке, 400г",179.80,89.90,−50%,с 15 февраля - до 28 февраля
43,22,"Колбаса ЛИТОВСКАЯ, сырокопченая, нарезка (Иней), 100г",181.69,89.99,−50%,с 15 февраля - до 28 февраля
